name,id,genres
Aiday Ainur,5BuB7CRnNJKxzSsu6Mznbj,
Jst Ray,4A2ptrgQSJtQrbfltEpoCR,
Noah Moon,6kXZd2PVpbPLWi6P0QQeQ8,
Ashley McBryde,371jpyGdoChzUASOIG2ECV,arkansas country-contemporary country-country-country road
Isaac Stuart,7vqrMptsKefoZat5ztYapE,
Camilla Turgot,4dMzIDrTnlZ42GJiWGxzB2,
Rayvon,4hB4SmzreXMTGWYj7KQ7QN,barbadian pop-reggae fusion
Hush Forte,4MbRfFtyXLbOnccfjBE69n,indie hip hop
LEE CHANHYUK,4RkTSLr5Qf79FfUkeaDKbl,
PETER PAHN,4LQoXe8NEzb0WSvAhQSFbD,
Zenon,0dChfqND0qSnlhrNZF7NlL,
Dimitris Lentzos,7wsSPOY6EygB4SSxL7eYHd,
WILLO,5t5UKNdX3RZUCePoXSYx4N,
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,boy band-dance pop-pop
Lil Mama,5qK5bOC6wLtuLhG5KvU17c,hip pop-trap queen
Saleel Kulkarni,6Ow4DmnD2v4gQtqpPjR3lr,marathi pop
Harry Gregson-Williams,1BxqJ6pOCi8mkSjCbFYjpW,british soundtrack-orchestral soundtrack-soundtrack
James Cole,4uRl0LZUcciuN8tfRQ3LRM,
Marlene,0pAV5GaO9ak8wk1NnF37Cl,swedish electropop
Big Boss Vette,6fKiutMtRIcxi4zEau0BuI,trap queen
Valerie June,4QZdOCb3UacKbQ1ybDFAKM,black americana-folk-memphis americana-new americana
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,alternative metal-alternative rock-grunge-hard rock-nu metal-permanent wave-post-grunge-rock-supergroup
Ström,0GrHUOaxUA1EUn8UlzeHBS,background music
Tourist,2ABBMkcUeM9hdpimo86mo6,chillwave-future garage-indie dream pop-indie soul-shiver pop-vapor soul
Whitefield,3Bl7IsHkpS3ccNug2A8txP,
Penny Baltatzi,0xP7gTMFElcSoYxVSdqFWz,greek swing
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,boy band-pop
Amanda Darling,073wO4AkykiI9WISqRCJoo,
Wishes and Dreams,3z3HY7B1UqsrP5un2WXe2h,lo-fi study
Lekan,3Z7dkUrTApDgi6npZfoHVv,
Orangelo,6rGGEz9rM3t9SeOvwLJNIT,
Virgin Miri,4b9493bfuOM9WoRZU6X3Sm,
Kumaar,0m3D4grap8VFSzbJMqgNVk,modern bollywood
Florence Welch,0IROOdQ2fQUcoaEPqt1Isg,uk pop
Lost Girl,145mFGIlZXfYlGQTTWA9OS,
Talia Mar,7zoc6JsY8GWVcl2qFwiKay,game mood
Lynda,2GlEiSHYEKlq9cUYDa9oZb,r&b francais
Avenoir,3Z7onAknzpinUu3KtmgeZb,
Macacko,0nUTxp2U0XnPM9Klp8Z0qw,musica capixaba-pop rock brasileiro
Aleica,0JyS4TI8NZcjQJl1Y5jscE,dembow dominicano
Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,alternative r&b-indie soul
Screen Jazzmaster,0ccv58yNhOu5FERx9Kpvgt,lo-fi jazzhop
Javeon,41sCs0Q7zO0ls64jWsHnj7,neo r&b
Ch'cco,2j4WQI5RTNgyEd7wbDTRe1,amapiano
Jorge Reyes,73lAf1b3vgM25fxLa0oIJV,musica prehispanica-rock progresivo mexicano
Trombone Shorty,37ZvFp654tY74Z1D2TLOGR,jazz trombone-new orleans funk
The Aural Healer,5aS55avvX9UAYN3LVTRwyr,background music
Tony Shhnow,6w1PsA3Lux2vlfaymj66w8,dark plugg-dream plugg-plugg-pluggnb
Laurence O'Keefe,1DX6JkrHY2mbpWK4gntYhO,
Cool Maritime,1B5MGDIt38Z6cUdghq8SaV,modular synth
Bliss Samsa,5Jb935Bdh5o2pBYzXFSFU6,
LÉA THE LEOX,76yn7CZJcpG479LvqWHh8O,
ALIA LARA,7LZtbcOzfx11Fhapw8iiOO,gospel r&b
Cedar Wright,40men95XZW3jNTv2l0aXFj,
Brothers Osborne,39NR3AUhpbbqKM33vWn2fp,contemporary country-country-country road-modern country rock-modern southern rock
Invisible Motion,55kth4t5W6MGCPvW8ueDae,sleep
En Orbita,3Ud2jApPbXIj7Jjksbgf3o,
Phoebe Ryan,4N874uPqBka1QiCvnCVOtr,alt z-indie poptimism
S A Z E R,4ITqwIiGfTR7LWAuLLuaaL,
Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,
Morad,4az97MtWmBQ5Db3GfDh9j9,drill espanol-urbano espanol
Messiah,0tR60pwxQ5WKjPxQcKoCQ7,trap dominicano-trap latino
Riseran,5Nxj0jnslmO6SYW2ikO1Ho,
Piano Peace,7qKxhFTGcJ7w7JEFGqqWwK,piano cover
InAbell,7mST3kQ7nO7i94aZnEromT,
Dosem,0zmnkCTbAxYsZAMIqXEzfS,deep minimal techno-house-latin tech house-minimal techno-progressive house-spanish techno
riela,5K3Lwty6gv1gtuPn3gcf3A,
Walter Hawkins,12pzJohM40StvAPzI1t3Tb,gospel
Laura Story,0qKOMcuFgagNQJWHHK7NY6,ccm-christian alternative rock-christian music-lds youth
Alex Sonata & TheRio,0R3Imkf3vLjMsdx46OC2Ej,progressive trance
Act of Rage,5eHs2hHfUzGizdnrLjc3CW,rawstyle
Jaunt,0RjyW369Wyqush2rz41dkA,toronto indie
Farah Sumners,3fn8yofOvpgD2AKNTkbcuz,
State Champs,1qqdO7xMptucPDMopsOdkr,anthem emo-pixie-pop punk
Pee Wee Ellis,4nOsbPxGYii9IpCEfCCSbo,
pearl moth,36PkhRLgmvQHdxm5wSdYnq,
Elçin Orçun,1e6JMnBTnlsmLfUIshPefJ,turkish alt pop-turkish singer-songwriter
Adventure Club,5CdJjUi9f0cVgo9nFuJrFa,brostep-canadian electronic-complextro-edm-electro house-filthstep-pop dance
Lou Lizza,64ExAUrTH26xYrVrCFEVH4,
Trollphace,0OJ5ViZQUFL6ileg5HvKKy,brostep-deathstep-dubstep-filthstep-gaming dubstep-riddim dubstep
Ukweli,5I48tG854vS1rY1isuMOgQ,kenyan alternative-kenyan pop-kenyan r&b
Alojz Pavic,51QTWGv4EPAahGEUrk9lmC,
Aqualogic,4LiP2v7wfqtd3lLZta08UP,rain
Amy Dickson,3jCy6dMGBsf8Bt8fKD11Ty,classical saxophone
Lia Ices,2hy115qI1RfVvSeSvKfZj3,
"Herb Ohta, Jr.",1Dp5erLcQqBYQBOR3qs1Dp,ukulele
SWV,2NmK5FyrQ18HOPXq1UBzqa,contemporary r&b-girl group-hip pop-new jack swing-r&b-urban contemporary
Nilo Almeida,1FFwV2WdNXvSTHJAI0CZlF,
Kylie Cantrall,20EGKg0XsxPJ0GRHxfb9LX,movie tunes
No Shapes Island,2yllrSykto1kVMIOhbwed4,color noise-white noise
Old Sea Brigade,6vUNwmljZAcn7tNtUoxG45,indie anthem-folk-indie folk-modern indie folk-pop folk
Jamie Miller,2LkkwxA19J8C52wPQl5bG6,pop soul-singer-songwriter pop
Yuksek,2ePIzx9NjxplS724QMZtsf,electrofox-filter house-french indie pop-french indietronica-new french touch-nu disco
Punto40,2C1Pj5TMq8QjqbwQ4tmDtO,reggaeton chileno
Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,gen z singer-songwriter
Maarten van der Grinten,37e1k0TyFygkdwIn5paeFN,
Jerry Rivera,7wOZy3KdFVVINgNFFxkxwO,latin pop-puerto rican pop-salsa-salsa puertorriquena-tropical
Thomas Lizzara,6WqAx7kpPz11g54zvpcOuU,german house
Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,orchestral soundtrack-scorecore-video game music
Mckenna Grace,1ZjXhESKpjsv31L7ykuJBE,
T.Rabb,5y7JTGTYLrEVVs0GSygBWv,
Freak Slug,5wk7sY8GIg5ihSI09EbWeS,chill dream pop-lo-fi indie
Kataem,4v5vKGibNG5JeqTPAhnqil,
Zöelle,4ejqWoCUdomzmXtgNJvXbl,
Oliver Peasley,13EUu6e9QCae6KE3J0glgT,
9th Wonder,4s8ZGMVf3OiPktSP4ulpqU,alternative hip hop-hip hop-instrumental hip hop-north carolina hip hop
Mack Keane,7fNI5DhplKeFCErRvzRCVO,chill r&b-indie r&b
Paper Horses,4gdDTJi3KRIhEKqiAIZuWW,
NoCap,4PNHuWkk4ee6R8WEhFVPf5,alabama rap-atl trap
Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,chamber pop-indie folk-indie rock-new americana-stomp and holler
JONES,6Mn5HNY6bJSqK31cRa0uiv,uk contemporary r&b
Midland,1YFLNH4rO40x9i16RpLwdY,deep house-float house-future garage-minimal tech house
GREY D,6d0dLenjy5CnR5ZMn2agiV,v-pop
Caroline Rose,06W84OT2eFUNVwG85UsxJw,indie pop-indie surf-vermont indie
Olavi Louhivuori,7MsLyr0nCXGN6OGoZgZqrT,finnish jazz
Crod,1VI8uzUXTMpjdIvM6Rsh0j,pop rap brasileiro
Blossum,5n57oRR8VeYTcFnpz6svA4,
Start Of Something Good,37qYg33d5znCp06dghSGz4,
John Scofield,14RXohtx6NiBGFTW8IdmAK,jazz-jazz blues-jazz fusion-jazz guitar-soul jazz
El León Pardo,1GWsnvoiuPEfBxKLkznKUu,
Luis Miguel,2nszmSgqreHSdJA3zWPyrW,bolero-latin pop
KUMMER,2TiXt00aPsggbxZxL1RaG7,german hip hop-german pop
Bien et Toi,4suQx12DObcRABlwiuA96a,
Qing Madi,0ZvsEkINadmEV4qzS4ollh,viral afropop
Brave Girls,7t5H3uQv0Zw6cQUnSTF5BB,k-pop-k-pop girl group
Leo Pastel,7vQGIpk5D46TsDuZbVDaZH,
Two Shell,4mcHKwboFDmpDBQ4fiOrf3,experimental club
Cole Bleu,1AnTOrEmKXxMwrBMEQnq3S,
BJ Putnam,60aBgW2uAx0DWjANS99500,latin worship
Nino Carl,3V1leSurIPtt6YdrfnJNo2,background piano
Alva Nørgaard,7HIFfx126uBOqh9lGH8z2b,
Hans Vincent,0Y4WR89pA1Dx4IcwMswWWQ,
Hollyn,2E6Nnh7AAOVajEHHRDALav,ccm-christian alternative rock-christian music
Pontiver Bogross,3dlALRQ5FDfoMDLFkzwhcw,background piano
Luedji Luna,0sWTkzCrdEvuX7Du6MFLzc,afrofuturismo brasileiro-nova mpb
Ryan Judd,1F8gdqObuIxT2cZrPjDeMv,
Helen Merrill,4JHlHSUko0ivu6fXYT8J2q,vocal jazz
Padma Purana,2nebIURM77CcBY8Q5y187K,greek downtempo
Miles Minnick,1VEtrxO5KlDXfYGKBI6Ldr,christian hip hop-christian trap
Caz,4BC0mFwxuHdoumvM6sxLDu,uk worship
Bon Jovi,58lV9VcRSjABbAbfWS6skp,glam metal-rock
Jordan Ward,3DGlTwdM5Dim9XQipb3jMf,chill abstract hip hop-indie hip hop-indie r&b
Shari,3X9nkz31tAOM25rdtzfi60,
Angie Goodham,2UXaJJ11L0oeW9uCxQYxGl,
Parallelle,4j2NOrZwtpyVrtrCXsKsag,organic house
Kasi,49jnuRVkvqT093caXQnJBw,german pop
