,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,popularity
Shane Cooper,0.6008,0.6658000000000002,0.7714000000000001,127.5375,0.36746,0.8123999999999999,0.05861000000000001,0.14045,16
Mighty Sam McClain,0.5463,0.30770000000000003,0.4309,140.2844,0.44114999999999993,0.002855719,0.053070000000000006,0.1567,29
Laura Souguellis,0.3658,0.33659999999999995,0.19160000000000002,134.3712,0.5924999999999999,7.8366e-05,0.03201,0.11105000000000001,51
Nicolas Masseyeff,0.7331999999999999,0.6988,0.20748000000000003,120.1964,0.00297978,0.8929,0.04621,0.1356,31
The Manhattan Transfer,0.6897,0.5118,0.6331999999999999,117.40979999999998,0.44359000000000004,0.033304072000000004,0.04174000000000001,0.16644000000000003,43
Forester,0.6081999999999999,0.7316,0.22464000000000003,123.09309999999998,0.29451,0.07337371399999999,0.09719,0.14623000000000003,50
bar italia,0.6425000000000001,0.7061999999999999,0.4647,115.6061,0.1318415,0.162523038,0.0372,0.15717,45
Corey Harper,0.5907,0.511,0.42394,113.05720000000001,0.41000000000000003,1.622e-06,0.04229,0.16094999999999998,39
TIBASKO,0.6661999999999999,0.8493,0.5016999999999999,131.6899,0.016181400000000002,0.5407909,0.041150000000000006,0.15706,43
The Coasters,0.6396,0.6026,0.8460000000000001,122.28219999999999,0.5547,0.029267747000000004,0.13113000000000002,0.15069,47
Park Seojin,0.5918,0.49720999999999993,0.41812000000000005,119.65950000000002,0.34298700000000004,0.440895641,0.035780000000000006,0.24500000000000002,0
Artful,0.7504000000000001,0.7651,0.52019,121.31989999999999,0.08782209999999999,0.464924,0.0755,0.09682,31
Grace George,0.5416000000000001,0.23949999999999996,0.4241,119.41279999999999,0.9021000000000001,3.185e-06,0.03468,0.11542000000000001,40
Nochang,0.5923,0.7712,0.4974,120.37050000000002,0.25217,0.0,0.17020000000000002,0.25095999999999996,29
SCXR SOUL,0.7258000000000001,0.6224000000000001,0.3681,102.64290000000001,0.02413,0.589761,0.07645,0.17958000000000002,61
Rahat Fateh Ali Khan,0.6122000000000001,0.7159,0.6823,93.98159999999999,0.4271999999999999,0.000331901,0.059710000000000006,0.21242,72
.multibeat,0.7221000000000001,0.39703999999999995,0.47377,103.2567,0.6188,0.6232,0.14960999999999997,0.13604,38
Jeffrey Dol,0.4264,0.21177,0.21639,115.8009,0.8348000000000001,0.5876700000000001,0.03703,0.17065999999999998,11
Jimi Hendrix,0.4276000000000001,0.742,0.4831,107.7562,0.24354399999999998,0.127426929,0.1224,0.18588,69
Traitors,0.2943000000000001,0.9648,0.2612,132.1446,0.00013147099999999998,0.648528,0.13114000000000003,0.37528,38
Quicksilver Messenger Service,0.5146,0.5418000000000001,0.6443000000000001,119.17929999999998,0.4165,0.317242917,0.04583,0.2091,36
